@relation cleaned-data

@attribute Platform {SENTINEL-1B,SENTINEL-1A}
@attribute Sensor {'SENTINEL-1 C-SAR'}
@attribute 'Beam Mode' {WV,IW,S3,S2,S1,EW}
@attribute 'Absolute Orbit' numeric
@attribute 'Relative Orbit' numeric
@attribute 'Path Number' numeric
@attribute 'Frame Number' numeric
@attribute 'Processing Level' {SLC,OCN,GRD_MD,RAW}
@attribute 'Center Lat' numeric
@attribute 'Center Lon' numeric
@attribute 'Near Start Lat' numeric
@attribute 'Near Start Lon' numeric
@attribute 'Far Start Lat' numeric
@attribute 'Far Start Lon' numeric
@attribute 'Near End Lat' numeric
@attribute 'Near End Lon' numeric
@attribute 'Far End Lat' numeric
@attribute 'Far End Lon' numeric
@attribute 'Faraday Rotation' numeric
@attribute 'Ascending or Descending?' {Ascending,Descending}
@attribute 'Size (MB)' numeric
@attribute 'Off Nadir Angle' numeric

@data
SENTINEL-1A,'SENTINEL-1 C-SAR',IW,19544,47,47,1058,SLC,-36.2734,-65.892,-37.338284,-67.014923,-36.673203,-64.24791,-35.851398,-67.518906,-35.197979,-64.799423,?,Ascending,4290,0
SENTINEL-1A,'SENTINEL-1 C-SAR',IW,19544,47,47,1053,SLC,-37.7533,-65.3524,-38.822788,-66.491615,-38.144833,-63.671814,-37.338375,-67.014893,-36.672802,-64.245949,?,Ascending,4160,0
SENTINEL-1A,'SENTINEL-1 C-SAR',IW,19544,47,47,1048,SLC,-39.2305,-64.7914,-40.304932,-65.948563,-39.613277,-63.072155,-38.822876,-66.491585,-38.144367,-63.669609,?,Ascending,4110,0
SENTINEL-1A,'SENTINEL-1 C-SAR',IW,19544,47,47,1043,SLC,-40.7044,-64.2067,-41.784035,-65.381737,-41.077709,-62.444622,-40.305019,-65.948532,-39.612717,-63.069576,?,Ascending,4120,0
SENTINEL-1A,'SENTINEL-1 C-SAR',IW,19544,47,47,1037,SLC,-42.2928,-63.5454,-43.496502,-64.691612,-42.772228,-61.680222,-41.784122,-65.381699,-41.077332,-62.44278,?,Ascending,4080,0
SENTINEL-1B,'SENTINEL-1 C-SAR',IW,8561,135,135,437,SLC,46.3951,105.1519,47.170944,107.062202,47.563866,103.730324,45.202671,106.507996,45.595448,103.293587,?,Descending,4550,0
SENTINEL-1B,'SENTINEL-1 C-SAR',IW,8561,135,135,432,SLC,48.1281,105.6009,48.666809,107.510582,49.060791,104.079323,47.171032,107.062225,47.564087,103.729034,?,Descending,3800,0
SENTINEL-1B,'SENTINEL-1 C-SAR',IW,8561,135,135,427,SLC,49.6244,106.0091,50.160755,107.981537,50.556511,104.442436,48.666901,107.510605,49.061028,104.07785,?,Descending,3840,0
SENTINEL-1B,'SENTINEL-1 C-SAR',IW,8561,135,135,422,SLC,51.1197,106.4318,51.653656,108.469048,52.051838,104.811356,50.160847,107.981567,50.556881,104.439537,?,Descending,3980,0
SENTINEL-1B,'SENTINEL-1 C-SAR',IW,8561,135,135,417,SLC,52.614,106.8693,53.145302,108.977798,53.546425,105.192635,51.653744,108.469078,52.052074,104.809792,?,Descending,4010,0
SENTINEL-1B,'SENTINEL-1 C-SAR',IW,8561,135,135,412,SLC,54.1079,107.3193,54.636665,109.500725,55.041111,105.576721,53.145393,108.977829,53.546646,105.191154,?,Descending,4090,0
SENTINEL-1B,'SENTINEL-1 C-SAR',IW,8561,135,135,407,SLC,55.6014,107.7819,56.126865,110.046867,56.535316,105.970963,54.636753,109.500763,55.041332,105.575203,?,Descending,4360,0
SENTINEL-1B,'SENTINEL-1 C-SAR',IW,8561,135,135,401,SLC,57.2127,108.3202,57.851395,110.753326,58.266846,106.48259,56.126953,110.046906,56.535538,105.969383,?,Descending,4780,0
SENTINEL-1B,'SENTINEL-1 C-SAR',IW,8561,135,135,365,SLC,68.0269,113.0051,68.492661,116.477028,68.985847,110.367615,67.023979,115.417068,67.497688,109.675003,?,Descending,3880,0
SENTINEL-1B,'SENTINEL-1 C-SAR',IW,8561,135,135,360,SLC,69.5031,113.929,69.950768,117.651543,70.467041,111.121841,68.492752,116.477089,68.986053,110.365685,?,Descending,4090,0
SENTINEL-1B,'SENTINEL-1 C-SAR',IW,8561,135,135,355,SLC,70.9728,114.9588,71.401901,118.978752,71.945915,111.965599,69.950859,117.651619,70.467255,111.119781,?,Descending,4020,0
SENTINEL-1B,'SENTINEL-1 C-SAR',IW,8561,135,135,350,SLC,72.4377,116.125,72.844604,120.492043,73.421989,112.918823,71.401985,118.978836,71.946106,111.963951,?,Descending,3910,0
SENTINEL-1B,'SENTINEL-1 C-SAR',IW,8561,135,135,344,SLC,74.0141,117.5801,74.506081,122.559242,75.131805,114.212967,72.844688,120.492142,73.422302,112.914879,?,Descending,3910,0
SENTINEL-1B,'SENTINEL-1 C-SAR',WV,8561,135,135,49,SLC,15.5878,-68.4272,15.479014,-68.501328,15.515825,-68.314964,15.659717,-68.539467,15.696514,-68.352936,?,Ascending,1960,0
SENTINEL-1A,'SENTINEL-1 C-SAR',WV,19544,47,47,624,SLC,-9.5603,107.6341,-9.490468,107.746735,-9.449545,107.561028,-9.671059,107.707344,-9.630087,107.521477,?,Descending,4640,0
SENTINEL-1A,'SENTINEL-1 C-SAR',IW,19544,47,47,614,SLC,-6.7765,106.2704,-6.201319,107.57325,-5.701706,105.330101,-7.851119,107.213478,-7.345946,104.963928,?,Descending,4260,0
SENTINEL-1A,'SENTINEL-1 C-SAR',IW,19544,47,47,609,SLC,-5.1985,106.6169,-4.690193,107.89946,-4.195906,105.662216,-6.20123,107.573273,-5.701993,105.331795,?,Descending,3910,0
SENTINEL-1A,'SENTINEL-1 C-SAR',IW,19544,47,47,604,SLC,-3.6893,106.9437,-3.178623,108.222374,-2.689322,105.988556,-4.690103,107.899475,-4.195973,105.662933,?,Descending,3560,0
SENTINEL-1A,'SENTINEL-1 C-SAR',IW,19544,47,47,599,SLC,-2.1799,107.267,-1.666899,108.543388,-1.182446,106.311378,-3.178533,108.222389,-2.689368,105.989189,?,Descending,3740,0
SENTINEL-1A,'SENTINEL-1 C-SAR',IW,19544,47,47,594,SLC,-0.6701,107.5874,-0.154856,108.861801,0.324856,106.630112,-1.666809,108.543404,-1.18249,106.312019,?,Descending,3200,0
SENTINEL-1A,'SENTINEL-1 C-SAR',IW,19544,47,47,589,SLC,0.84,107.9046,1.357389,109.178207,1.832483,106.945236,-0.154766,108.861816,0.324832,106.630653,?,Descending,3190,0
SENTINEL-1A,'SENTINEL-1 C-SAR',IW,19544,47,47,584,SLC,2.3504,108.2192,2.86976,109.493011,3.340354,107.257156,1.357479,109.178223,1.832479,106.945694,?,Descending,3270,0
SENTINEL-1A,'SENTINEL-1 C-SAR',IW,19544,47,47,578,SLC,3.9821,108.5564,4.624957,109.856552,5.090478,107.615288,2.86985,109.493027,3.34037,107.25753,?,Descending,3750,0
SENTINEL-1B,'SENTINEL-1 C-SAR',WV,8560,134,134,991,SLC,-57.1415,-46.2559,-57.261135,-46.361233,-57.192211,-46.032288,-57.09042,-46.478767,-57.021801,-46.151325,?,Ascending,1740,0
SENTINEL-1B,'SENTINEL-1 C-SAR',IW,8560,134,134,858,SLC,-75.1125,62.3145,-75.517593,67.853233,-73.665138,62.90382,-76.557465,61.610691,-74.58374,57.099812,?,Descending,2490,0
SENTINEL-1B,'SENTINEL-1 C-SAR',IW,8560,134,134,853,SLC,-74.1478,67.5156,-74.528748,72.373657,-72.777199,67.236694,-75.517532,67.853523,-73.665535,62.905132,?,Descending,2250,0
SENTINEL-1B,'SENTINEL-1 C-SAR',IW,8560,134,134,848,SLC,-73.1689,71.7066,-73.461227,76.351959,-71.806709,71.142464,-74.528687,72.373909,-72.777641,67.238213,?,Descending,2330,0
SENTINEL-1B,'SENTINEL-1 C-SAR',IW,8560,134,134,843,SLC,-72.1153,75.4377,-72.328133,79.851631,-70.764977,74.652969,-73.461166,76.35218,-71.80719,71.14418,?,Descending,2260,0
SENTINEL-1B,'SENTINEL-1 C-SAR',IW,8560,134,134,838,SLC,-71.0015,78.7669,-71.146553,82.957771,-69.668587,77.823792,-72.328064,79.85183,-70.765427,74.654678,?,Descending,2130,0
SENTINEL-1B,'SENTINEL-1 C-SAR',IW,8560,134,134,833,SLC,-69.8392,81.7494,-69.922943,85.719452,-68.523758,80.686996,-71.146484,82.957947,-69.669128,77.825851,?,Descending,2050,0
SENTINEL-1B,'SENTINEL-1 C-SAR',IW,8560,134,134,828,SLC,-68.6347,84.4247,-68.663536,88.18293,-67.336578,83.274757,-69.922867,85.719604,-68.524269,80.689018,?,Descending,1910,0
SENTINEL-1B,'SENTINEL-1 C-SAR',IW,8560,134,134,823,SLC,-67.3955,86.8372,-67.376984,90.402985,-66.116455,85.630951,-68.66346,88.183075,-67.337112,83.276917,?,Descending,2220,0
SENTINEL-1B,'SENTINEL-1 C-SAR',IW,8560,134,134,817,SLC,-66.0215,89.1815,-65.847084,92.69165,-64.65612,88.086906,-67.376907,90.403107,-66.117065,85.633408,?,Descending,2220,0
SENTINEL-1A,'SENTINEL-1 C-SAR',IW,19544,47,47,177,SLC,55.3167,-63.1898,54.264797,-64.860611,54.669445,-60.972511,55.92873,-65.477356,56.33831,-61.42028,?,Ascending,4260,0
SENTINEL-1A,'SENTINEL-1 C-SAR',IW,19544,47,47,172,SLC,53.8054,-62.7189,52.784214,-64.342484,53.185444,-60.590584,54.392548,-64.908058,54.79763,-61.007011,?,Ascending,4180,0
SENTINEL-1A,'SENTINEL-1 C-SAR',IW,19544,47,47,167,SLC,52.3222,-62.2744,51.302952,-63.84539,51.701286,-60.219673,52.912453,-64.384888,53.313839,-60.622314,?,Ascending,4300,0
SENTINEL-1A,'SENTINEL-1 C-SAR',IW,19544,47,47,162,SLC,50.809,-61.8457,49.762325,-63.359772,50.158939,-59.850922,51.430119,-63.894409,51.829174,-60.255295,?,Ascending,4400,0
SENTINEL-1A,'SENTINEL-1 C-SAR',IW,19544,47,47,157,SLC,49.2941,-61.4308,48.276779,-62.908676,48.672173,-59.504162,49.888901,-63.404461,50.286022,-59.884079,?,Ascending,3680,0
SENTINEL-1A,'SENTINEL-1 C-SAR',IW,19544,47,47,152,SLC,47.8072,-61.0342,46.790138,-62.470135,47.184521,-59.163601,48.404331,-62.948067,48.799892,-59.534454,?,Ascending,3550,0
SENTINEL-1A,'SENTINEL-1 C-SAR',IW,19544,47,47,147,SLC,46.3198,-60.6478,45.303852,-62.044724,45.697548,-58.82943,46.918068,-62.506073,47.312443,-59.191818,?,Ascending,3770,0
SENTINEL-1A,'SENTINEL-1 C-SAR',IW,19544,47,47,142,SLC,44.8309,-60.2739,43.814804,-61.634579,44.208385,-58.503014,45.430939,-62.081665,45.824757,-58.858376,?,Ascending,3560,0
SENTINEL-1A,'SENTINEL-1 C-SAR',IW,19544,47,47,137,SLC,43.3131,-59.9016,42.268509,-61.220318,42.662277,-58.169701,43.942883,-61.669464,44.336468,-58.530903,?,Ascending,3720,0
SENTINEL-1A,'SENTINEL-1 C-SAR',IW,19544,47,47,132,SLC,41.5832,-59.6552,42.4121,-61.3721,40.4609,-60.8725,42.6875,-58.3912,40.7338,-57.9815,?,Ascending,4070,0
SENTINEL-1B,'SENTINEL-1 C-SAR',WV,8560,134,134,703,SLC,-33.2394,113.9078,-33.174538,114.045441,-33.125912,113.823708,-33.352741,113.992287,-33.304008,113.769989,?,Descending,2760,0
SENTINEL-1B,'SENTINEL-1 C-SAR',IW,8560,134,134,683,SLC,-27.0979,113.4678,-26.967016,114.829109,-26.378519,112.35511,-27.80846,114.59449,-27.215288,112.103378,?,Descending,1790,0
SENTINEL-1B,'SENTINEL-1 C-SAR',IW,8560,134,134,678,SLC,-25.9305,113.8029,-25.467688,115.239304,-24.88727,112.794167,-26.966928,114.82914,-26.378479,112.355331,?,Descending,3730,0
SENTINEL-1B,'SENTINEL-1 C-SAR',IW,8560,134,134,673,SLC,-24.4341,114.2221,-23.966629,115.6381,-23.394232,113.220932,-25.4676,115.239326,-24.887537,112.795624,?,Descending,3870,0
SENTINEL-1B,'SENTINEL-1 C-SAR',IW,8560,134,134,668,SLC,-22.9364,114.6318,-22.465067,116.031197,-21.900482,113.640152,-23.966539,115.638123,-23.394583,113.222755,?,Descending,4010,0
SENTINEL-1B,'SENTINEL-1 C-SAR',IW,8560,134,134,662,SLC,-21.3171,115.0653,-20.720356,116.477257,-20.164339,114.113541,-22.464979,116.031219,-21.900784,113.641769,?,Descending,3830,0
SENTINEL-1A,'SENTINEL-1 C-SAR',WV,19544,47,47,38,SLC,12.2478,-55.3853,12.138921,-55.458324,12.176031,-55.27462,12.319595,-55.496048,12.356688,-55.312218,?,Ascending,2110,0
SENTINEL-1A,'SENTINEL-1 C-SAR',IW,19544,47,47,1205,SLC,8.143,-52.5421,7.041993,-53.481171,7.497253,-51.247211,8.788214,-53.840164,9.238702,-51.596283,?,Ascending,3720,0
SENTINEL-1A,'SENTINEL-1 C-SAR',IW,19544,47,47,1200,SLC,6.5847,-52.2251,5.540318,-53.171806,5.99981,-50.94455,7.169701,-53.507446,7.624607,-51.272842,?,Ascending,3530,0
SENTINEL-1A,'SENTINEL-1 C-SAR',IW,19544,47,47,1195,SLC,5.0559,-51.9113,3.980683,-52.848427,4.444599,-50.62682,5.66813,-53.197037,6.127159,-50.969734,?,Ascending,3940,0
SENTINEL-1A,'SENTINEL-1 C-SAR',IW,19544,47,47,1190,SLC,3.4244,-51.5729,2.313206,-52.499359,2.781848,-50.282539,4.068297,-52.864285,4.531965,-50.642361,?,Ascending,4650,0
SENTINEL-1A,'SENTINEL-1 C-SAR',S3,19543,46,46,1101,SLC,-23.5726,-46.3154,-24.372723,-46.526867,-24.193451,-45.745476,-22.9496,-46.880005,-22.772198,-46.106598,?,Ascending,3590,0
SENTINEL-1B,'SENTINEL-1 C-SAR',IW,8560,134,134,481,SLC,33.4333,126.8747,33.836338,128.380402,34.243713,125.626312,32.607216,128.096313,33.016396,125.381149,?,Descending,2850,0
SENTINEL-1B,'SENTINEL-1 C-SAR',IW,8560,134,134,476,SLC,34.7936,127.1843,35.399773,128.748489,35.801449,125.968773,33.769077,128.365433,34.17263,125.64238,?,Descending,4060,0
SENTINEL-1B,'SENTINEL-1 C-SAR',IW,8560,134,134,471,SLC,36.288,127.5087,36.894192,129.102356,37.294052,126.268326,35.264462,128.712173,35.665962,125.939041,?,Descending,4310,0
SENTINEL-1B,'SENTINEL-1 C-SAR',IW,8560,134,134,466,SLC,37.8074,127.8424,38.439426,129.474655,38.83754,126.580681,36.758934,129.063782,37.15847,126.237411,?,Descending,4500,0
SENTINEL-1B,'SENTINEL-1 C-SAR',IW,8560,134,134,461,SLC,39.31,128.1763,39.850925,129.837875,40.25214,126.851349,38.34864,129.461502,38.751156,126.538406,?,Descending,3960,0
SENTINEL-1B,'SENTINEL-1 C-SAR',IW,8560,134,134,456,SLC,40.8199,128.5359,41.421432,130.236282,41.818279,127.205421,39.801579,129.82074,40.199184,126.865547,?,Descending,4140,0
SENTINEL-1B,'SENTINEL-1 C-SAR',IW,8560,134,134,446,SLC,43.8011,129.2405,44.401272,131.025238,44.797112,127.841576,42.783279,130.586777,43.179165,127.490814,?,Descending,4180,0
SENTINEL-1B,'SENTINEL-1 C-SAR',IW,8560,134,134,441,SLC,45.2895,129.6145,45.888042,131.449341,46.284817,128.17511,44.27132,130.997192,44.667713,127.81765,?,Descending,4140,0
SENTINEL-1B,'SENTINEL-1 C-SAR',IW,8560,134,134,436,SLC,46.806,130.0022,47.431534,131.899887,47.829384,128.526138,45.758686,131.41568,46.155636,128.148026,?,Descending,4310,0
SENTINEL-1B,'SENTINEL-1 C-SAR',IW,8560,134,134,431,SLC,48.3227,130.3974,48.917564,132.344193,49.316521,128.86911,47.303764,131.859589,47.701328,128.495422,?,Descending,4120,0
SENTINEL-1B,'SENTINEL-1 C-SAR',IW,8560,134,134,426,SLC,49.8091,130.7981,50.401958,132.806732,50.802635,129.221375,48.789528,132.303314,49.188232,128.838089,?,Descending,4080,0
SENTINEL-1B,'SENTINEL-1 C-SAR',IW,8560,134,134,421,SLC,51.2952,131.2098,51.885857,133.285034,52.28857,129.581573,50.274639,132.760529,50.674736,129.187393,?,Descending,4200,0
SENTINEL-1B,'SENTINEL-1 C-SAR',IW,8560,134,134,416,SLC,52.7805,131.6356,53.36829,133.783157,53.773571,129.951935,51.758999,133.235214,52.16095,129.545578,?,Descending,4280,0
SENTINEL-1B,'SENTINEL-1 C-SAR',IW,8560,134,134,411,SLC,54.2906,132.1072,54.902344,134.351822,55.312901,130.364868,53.238457,133.755493,53.644653,129.928864,?,Descending,4460,0
SENTINEL-1A,'SENTINEL-1 C-SAR',WV,19543,46,46,994,SLC,-56.1876,-34.5759,-56.307072,-34.682056,-56.238953,-34.357025,-56.135822,-34.794025,-56.067997,-34.470451,?,Ascending,2580,0
SENTINEL-1B,'SENTINEL-1 C-SAR',IW,8560,134,134,406,SLC,55.6146,132.6418,56.7291,130.9539,54.7825,130.432,56.4102,134.9443,54.4733,134.2298,?,Descending,4760,0
SENTINEL-1A,'SENTINEL-1 C-SAR',WV,19543,46,46,713,SLC,-36.1355,125.3293,-36.071598,125.472771,-36.021442,125.24279,-36.249401,125.416183,-36.199127,125.18557,?,Descending,2480,0
SENTINEL-1A,'SENTINEL-1 C-SAR',IW,19543,46,46,659,SLC,-20.4052,127.6829,-19.895145,129.090714,-19.330664,126.684357,-21.474567,128.69458,-20.902744,126.265579,?,Descending,3770,0
SENTINEL-1A,'SENTINEL-1 C-SAR',IW,19543,46,46,654,SLC,-18.8681,128.0866,-18.301849,129.482788,-17.749371,127.117432,-19.982523,129.069901,-19.421703,126.67907,?,Descending,4160,0
SENTINEL-1A,'SENTINEL-1 C-SAR',IW,19543,46,46,649,SLC,-17.364,128.455,-16.884558,129.826004,-16.333916,127.459503,-18.390005,129.460693,-17.832886,127.076569,?,Descending,4190,0
SENTINEL-1A,'SENTINEL-1 C-SAR',IW,19543,46,46,644,SLC,-15.8612,128.8266,-15.378331,130.185623,-14.834277,127.836342,-16.884468,129.826019,-16.334152,127.460892,?,Descending,4250,0
SENTINEL-1A,'SENTINEL-1 C-SAR',IW,19543,46,46,639,SLC,-14.3572,129.1906,-13.870729,130.537506,-13.332989,128.203522,-15.378242,130.185654,-14.834466,127.837532,?,Descending,3620,0
SENTINEL-1A,'SENTINEL-1 C-SAR',IW,19543,46,46,634,SLC,-12.852,129.5473,-12.362427,130.884354,-11.830807,128.56398,-13.87064,130.537521,-13.333175,128.204712,?,Descending,3500,0
SENTINEL-1A,'SENTINEL-1 C-SAR',IW,19543,46,46,629,SLC,-11.3724,129.9043,-10.817702,131.234192,-10.297799,128.950378,-12.445138,130.865829,-11.918545,128.567642,?,Descending,3380,0
SENTINEL-1A,'SENTINEL-1 C-SAR',IW,19543,46,46,624,SLC,-9.8477,130.2545,-9.261314,131.582123,-8.74754,129.309891,-10.946754,131.205673,-10.426287,128.920593,?,Descending,3450,0
SENTINEL-1A,'SENTINEL-1 C-SAR',IW,19543,46,46,619,SLC,-8.3317,130.5828,-7.833344,131.896088,-7.318945,129.606247,-9.343544,131.56311,-8.823793,129.265701,?,Descending,3550,0
SENTINEL-1A,'SENTINEL-1 C-SAR',IW,19543,46,46,614,SLC,-6.8237,130.9182,-6.322686,132.225983,-5.813695,129.942978,-7.833253,131.896103,-7.319056,129.607147,?,Descending,3610,0
